FullDate,Service_ID,KPI_ID,Value
07/05/2024,Service_ID46,KPI_1,0.50
08/05/2024,Service_ID46,KPI_1,0.50
09/05/2024,Service_ID46,KPI_1,0.50
10/05/2024,Service_ID46,KPI_1,0.50
11/05/2024,Service_ID46,KPI_1,1.50
12/05/2024,Service_ID46,KPI_1,0.50
13/05/2024,Service_ID46,KPI_1,0.50
15/05/2024,Service_ID46,KPI_1,1.50
01/04/2024,Service_ID47,KPI_1,0.74
02/04/2024,Service_ID47,KPI_1,1.69
03/04/2024,Service_ID47,KPI_1,1.63
04/04/2024,Service_ID47,KPI_1,0.70
05/04/2024,Service_ID47,KPI_1,1.21
06/04/2024,Service_ID47,KPI_1,1.25
07/04/2024,Service_ID47,KPI_1,0.50
08/04/2024,Service_ID47,KPI_1,0.83
09/04/2024,Service_ID47,KPI_1,1.83
10/04/2024,Service_ID47,KPI_1,0.50
12/04/2024,Service_ID47,KPI_1,0.50
14/04/2024,Service_ID47,KPI_1,0.50
15/04/2024,Service_ID47,KPI_1,1.93
16/04/2024,Service_ID47,KPI_1,1.50
17/04/2024,Service_ID47,KPI_1,3.00
18/04/2024,Service_ID47,KPI_1,1.36
19/04/2024,Service_ID47,KPI_1,0.83
20/04/2024,Service_ID47,KPI_1,2.07
22/04/2024,Service_ID47,KPI_1,1.23
23/04/2024,Service_ID47,KPI_1,0.61
24/04/2024,Service_ID47,KPI_1,0.60
25/04/2024,Service_ID47,KPI_1,0.79
26/04/2024,Service_ID47,KPI_1,1.10
27/04/2024,Service_ID47,KPI_1,0.50
28/04/2024,Service_ID47,KPI_1,0.50
29/04/2024,Service_ID47,KPI_1,1.50
30/04/2024,Service_ID47,KPI_1,2.04
01/05/2024,Service_ID47,KPI_1,1.00
02/05/2024,Service_ID47,KPI_1,1.36
03/05/2024,Service_ID47,KPI_1,1.33
04/05/2024,Service_ID47,KPI_1,0.50
05/05/2024,Service_ID47,KPI_1,1.50
06/05/2024,Service_ID47,KPI_1,0.60
07/05/2024,Service_ID47,KPI_1,1.42
08/05/2024,Service_ID47,KPI_1,1.61
09/05/2024,Service_ID47,KPI_1,1.21
10/05/2024,Service_ID47,KPI_1,0.59
12/05/2024,Service_ID47,KPI_1,0.50
13/05/2024,Service_ID47,KPI_1,0.75
14/05/2024,Service_ID47,KPI_1,1.50
15/05/2024,Service_ID47,KPI_1,1.17
06/05/2024,Service_ID48,KPI_1,2.50
08/05/2024,Service_ID48,KPI_1,1.50
12/05/2024,Service_ID48,KPI_1,0.50
02/04/2024,Service_ID49,KPI_1,1.50
23/04/2024,Service_ID49,KPI_1,0.50
02/05/2024,Service_ID49,KPI_1,0.50
04/05/2024,Service_ID49,KPI_1,0.50
08/05/2024,Service_ID49,KPI_1,4.50
14/05/2024,Service_ID49,KPI_1,2.50
15/05/2024,Service_ID49,KPI_1,0.50
01/04/2024,Service_ID50,KPI_1,1.00
02/04/2024,Service_ID50,KPI_1,0.71
03/04/2024,Service_ID50,KPI_1,1.50
04/04/2024,Service_ID50,KPI_1,1.83
05/04/2024,Service_ID50,KPI_1,1.50
08/04/2024,Service_ID50,KPI_1,0.50
15/04/2024,Service_ID50,KPI_1,0.70
16/04/2024,Service_ID50,KPI_1,0.50
17/04/2024,Service_ID50,KPI_1,0.50
18/04/2024,Service_ID50,KPI_1,1.14
19/04/2024,Service_ID50,KPI_1,0.50
22/04/2024,Service_ID50,KPI_1,0.88
23/04/2024,Service_ID50,KPI_1,0.57
24/04/2024,Service_ID50,KPI_1,0.86
25/04/2024,Service_ID50,KPI_1,0.50
26/04/2024,Service_ID50,KPI_1,0.75
27/04/2024,Service_ID50,KPI_1,0.50
29/04/2024,Service_ID50,KPI_1,1.50
30/04/2024,Service_ID50,KPI_1,1.00
01/05/2024,Service_ID50,KPI_1,0.50
02/05/2024,Service_ID50,KPI_1,1.00
03/05/2024,Service_ID50,KPI_1,1.50
04/05/2024,Service_ID50,KPI_1,1.50
06/05/2024,Service_ID50,KPI_1,1.25
07/05/2024,Service_ID50,KPI_1,0.73
08/05/2024,Service_ID50,KPI_1,0.79
09/05/2024,Service_ID50,KPI_1,0.50
10/05/2024,Service_ID50,KPI_1,0.65
11/05/2024,Service_ID50,KPI_1,0.50
